"","bird","site","list_n","release_cond","partner_list_n","Pair_ID","partner","treatment","date","time","add_train","dt1","HEI","split_any","distance_training_tracks_average","distance_training_tracks_closest","HEI_analysis","Distance_average_analysis","Distance_closest_analysis","treatment_addtrain"
"135","19-C41","SH",135,"pair",287,"O10","20-C17","TR",2024-07-08,"09:01:05",TRUE,2024-07-08 09:01:05,0.847468586367135,TRUE,168.263168984081,72.5738598858974,0.847451464242646,167.437552502416,71.6065419789645,"ATR"
"137","19-C41","SH",137,"solo",NA,"O10",",","TR",2024-06-10,"11:23:04",TRUE,2024-06-10 11:23:04,0.773119077321746,NA,254.648849068622,254.648849068622,0.773119077321746,254.648849068622,254.648849068622,"TR"
"138","19-C41","SH",138,"solo",NA,"O10",",","TR",2024-06-16,"13:41:11",TRUE,2024-06-16 13:41:11,0.856814627397111,NA,262.729038931637,262.729038931637,0.856814627397111,262.729038931637,262.729038931637,"TR"
"139","19-C41","SH",139,"solo",NA,"O10",",","TR",2024-07-05,"11:29:06",TRUE,2024-07-05 11:29:06,0.931681752936965,NA,130.480735144945,47.3183605910795,0.931681752936965,130.480735144945,47.3183605910795,"ATR"
"140","19-C42","LH",140,"pair",292,"O8","20-C85","CM",2024-08-16,"10:37:05",FALSE,2024-08-16 10:37:05,0.679732648323575,FALSE,568.227824305956,294.534292598525,0.680019294951908,567.830234730628,295.08362130708,"CM_N"
"141","19-C42","LH",141,"pair",293,"O8","20-C85","TR",2024-06-08,"11:46:59",FALSE,2024-06-08 11:46:59,0.724604890410701,FALSE,NA,NA,0.725055912083382,NA,NA,"TR"
"142","19-C42","LH",142,"pair",294,"O8","20-C85","TR",2024-06-09,"14:06:37",FALSE,2024-06-09 14:06:37,0.775997097445522,FALSE,109.873983192909,109.873983192909,0.775992872050373,108.97437511568,108.97437511568,"TR"
"143","19-C42","LH",143,"pair",295,"O8","20-C85","TR",2024-06-17,"10:29:05",FALSE,2024-06-17 10:29:05,0.844359483713029,FALSE,547.661171808603,493.829335482328,0.842608886476594,547.347497291496,493.79718683219,"TR"
"145","19-C42","LH",145,"solo",NA,"O8",",","TR",2024-06-10,"16:32:04",FALSE,2024-06-10 16:32:04,0.695394009304311,NA,214.279746143146,162.634054417888,0.695394009304311,214.279746143146,162.634054417888,"TR"
"146","19-C42","LH",146,"solo",NA,"O8",",","TR",2024-06-11,"15:40:04",FALSE,2024-06-11 15:40:04,0.761289642975566,NA,108.131751361322,68.4425604950237,0.761289642975566,108.131751361322,68.4425604950237,"TR"
"147","19-C42","SH",147,"pair",299,"O8","20-C85","TR",2024-06-09,"10:14:13",TRUE,2024-06-09 10:14:13,0.943327453768379,FALSE,NA,NA,0.943590996914778,NA,NA,"TR"
"148","19-C42","SH",148,"pair",300,"O8","20-C85","TR",2024-06-17,"13:47:12",TRUE,2024-06-17 13:47:12,0.950635505827097,FALSE,339.725116026112,339.725116026112,0.950250785217663,338.634568762259,338.634568762259,"TR"
"149","19-C42","SH",149,"pair",301,"O8","20-C85","TR",2024-07-04,"09:35:04",TRUE,2024-07-04 09:35:04,0.899517083808835,FALSE,191.982336143613,94.3786489560502,0.899558681880662,191.384325059538,94.030561900874,"ATR"
"150","19-C42","SH",150,"pair",302,"O8","20-C85","TR",2024-07-04,"17:12:04",TRUE,2024-07-04 17:12:04,0.957664110958521,FALSE,248.311336802822,111.809683717549,0.958135678779539,248.050705962213,112.025738778016,"ATR"
"151","19-C42","SH",151,"pair",303,"O8","20-C85","TR",2024-07-08,"09:20:05",TRUE,2024-07-08 09:20:05,0.860957461493652,FALSE,249.11779767186,78.4155420329377,0.86843393653895,247.428095911964,77.5269449013161,"ATR"
"152","19-C42","SH",152,"solo",NA,"O8",",","TR",2024-06-10,"12:03:09",TRUE,2024-06-10 12:03:09,0.859416668840613,NA,153.462116906288,153.462116906288,0.859416668840613,153.462116906288,153.462116906288,"TR"
"153","19-C42","SH",153,"solo",NA,"O8",",","TR",2024-06-16,"12:26:05",TRUE,2024-06-16 12:26:05,0.866501102325326,NA,188.647734101739,188.647734101739,0.866501102325326,188.647734101739,188.647734101739,"TR"
"154","19-C42","SH",154,"solo",NA,"O8",",","TR",2024-07-05,"11:19:09",TRUE,2024-07-05 11:19:09,0.921690648460052,NA,172.509931260839,45.2776743014559,0.921690648460052,172.509931260839,45.2776743014559,"ATR"
"162","19-C46","LH",162,"solo",NA,"O7",",","CM",2024-08-16,"10:43:05",TRUE,2024-08-16 10:43:05,0.652689448451179,NA,771.52721702881,148.117093754633,0.652689448451179,771.52721702881,148.117093754633,"CM_A"
